"surveys","days","r2","rmse","pe","logmse"
"200910",3.83,0.1,3.54,77.94,2.53
"201007",1.04,0.4,0.34,104.51,-2.17
"201105",3.74,0.34,0.4,361.37,-1.86
"201206",3.07,0.13,0.74,64.37,-0.6
"201212",3.1,0.85,0.59,92.87,-1.05
"201407",1.85,0.3,0.38,211.86,-1.93
