"TP","TDP","PO4","TN","NH4","NO3","chla"
0.68,0.2,0.34,0.78,0.14,-0.11,0.9
NA,0.65,0.51,0.51,0.16,0.08,0.74
NA,NA,0.48,0.09,0.18,0.3,0.28
NA,NA,NA,0.36,0.16,0.19,0.4
NA,NA,NA,NA,0.17,-0.12,0.67
NA,NA,NA,NA,NA,0.55,0.19
NA,NA,NA,NA,NA,NA,0.02
