"X2","X3","X4","X5","X6","X7","X8"
0,0.07,0,0,0.19,0.3,0
NA,0,0,0,0.13,0.45,0
NA,NA,0,0.39,0.09,0.01,0.01
NA,NA,NA,0,0.15,0.07,0
NA,NA,NA,NA,0.11,0.25,0
NA,NA,NA,NA,NA,0,0.07
NA,NA,NA,NA,NA,NA,0.87
